0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,2,0,0,0,0,0,0,0,4,5,2861252933.075547,0.0,0.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,8,4,5,779093702.8663211,0.0,30700000.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,6,4,2,0,0,0,0,0,6,7,5,436373824.2327038,22167818.0,0.0
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,5,7,5,0,0,0,0,0,0,4,7,4,310172172.85118973,0.0,61400000.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,5,4,0,0,0,0,0,6,3,1,5838270.945629752,26403379.0,0.0
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,4,2,5,0,0,0,0,0,0,3,2,7,29212618.663663875,0.0,92100000.0
0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,3,0,0,0,6,9,1,0,0,0,0,0,0,4,2,4,382695.17647533875,0.0,213300000.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,4,2,3,0,0,0,0,0,1,3,4,73069995.55448924,24198032.0,0.0
0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,2,0,0,0,5,0,1,1,0,0,0,0,0,4,2,5,0.0,20299287.0,213300000.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,5,1,0,0,0,0,0,2,7,10,816352186.3272002,20299287.0,0.0
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,4,3,6,1,0,0,0,0,0,4,3,4,5838270.945629752,20299287.0,92100000.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,4,7,5,2,0,0,0,0,0,2,3,5,45370359.84644361,22167818.0,30700000.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,2,4,5,403388786.5140051,20299287.0,30700000.0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,1,0,2,1,0,0,0,0,0,4,4,5,44336635.37109526,20299287.0,61400000.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,2,7,3,0,0,0,0,0,4,0,5,5838270.945629752,24198032.0,30700000.0
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,1,4,2,0,0,0,0,0,5,0,6,5838270.945629752,22167818.0,61400000.0
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,7,6,5,1,0,0,1,0,0,5,4,5,0.0,26620087.0,92100000.0
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,4,3,6,0,0,0,1,0,0,2,2,5,24739694.30127836,6320800.0,92100000.0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,5,1,6,3,0,0,0,0,0,4,4,5,0.0,24198032.0,151900000.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,4,3,3,3,0,0,1,0,0,2,0,6,0.0,30518832.0,30700000.0
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,4,4,3,2,0,0,1,0,0,6,7,7,0.0,28488618.0,61400000.0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,5,4,0,0,0,0,0,6,3,5,0.0,26403379.0,121200000.0
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,6,1,1,2,0,0,0,0,0,5,1,2,0.0,22167818.0,182600000.0
0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,3,0,0,0,7,8,5,0,0,0,0,0,0,5,6,3,0.0,0.0,334500000.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,2,3,4,0,0,1,0,0,5,4,6,0.0,32724179.0,0.0
