0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,6,2,0,0,0,0,0,0,0,1,0,164399369.2821124,0.0,61400000.0
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,1,5,0,0,0,0,0,0,6,10,7,20089652.366067737,0.0,92100000.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,5,3,0,0,0,0,0,0,0,1,0,1580192617.370637,0.0,30700000.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,6,2,2,0,0,0,0,0,7,1,0,23230237.258073926,22167818.0,30700000.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,2,1,0,0,0,0,0,6,6,1,241703256.90975863,20299287.0,30700000.0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,7,6,2,2,0,0,0,0,0,6,6,0,2844947.703704487,22167818.0,61400000.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,6,3,3,0,0,0,0,0,2,6,0,2844947.703704487,24198032.0,30700000.0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,7,3,1,0,0,0,0,0,6,10,4,21659944.81207083,20299287.0,61400000.0
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,3,0,0,0,1,6,3,2,0,0,0,0,0,4,3,1,0.0,22167818.0,182600000.0
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,2,6,1,1,0,0,0,0,0,4,10,1,2844947.703704487,20299287.0,92100000.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,7,0,3,0,0,1,0,0,2,4,0,0.0,30518832.0,30700000.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,7,6,4,1716471748.2195883,20299287.0,0.0
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,4,0,0,0,3,5,4,0,0,0,0,0,0,2,5,7,0.0,0.0,213300000.0
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,1,6,3,0,0,0,1,0,0,5,6,4,17285168.578319192,6320800.0,92100000.0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,0,0,1,0,0,5,6,0,0.0,28488618.0,61400000.0
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,4,0,0,0,7,7,10,1,0,0,1,0,0,1,2,7,0.0,26620087.0,92100000.0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,6,3,3,0,0,0,0,0,0,2,2,0.0,24198032.0,151900000.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,4,4,0,0,1,0,0,0,6,3,0.0,32724179.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,0,0,0,0,0,0,6,5,384204311.520409,22167818.0,0.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5,2,4,0,0,0,0,0,0,5,3,0.0,26403379.0,121200000.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,5,1716465153.4102397,20299287.62732069,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,6,5,23261443.18887603,24198032.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,3122835012.668133,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,4,0,0,0,0,0,4,3,5,2814281.3465912705,26403379.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,6,6,384197716.7110606,22167818.198803753,0.0
